"Wavelength, µm","n","k"
0.230411,1.523828,0.005137
0.232715,1.522177,0.005072
0.235042,1.520575,0.005008
0.237392,1.51902,0.004946
0.239766,1.51751,0.004884
0.242164,1.516043,0.004823
0.244585,1.514619,0.004764
0.247031,1.513234,0.004705
0.249501,1.511889,0.004647
0.251995,1.51058,0.00459
0.254515,1.509308,0.004535
0.25706,1.50807,0.00448
0.25963,1.506866,0.004426
0.262226,1.505695,0.004372
0.264848,1.504555,0.00432
0.267497,1.503445,0.004268
0.270171,1.502364,0.004218
0.272873,1.501312,0.004168
0.275601,1.500287,0.004118
0.278357,1.499288,0.00407
0.28114,1.498315,0.004022
0.283951,1.497367,0.003975
0.286791,1.496443,0.003929
0.289658,1.495543,0.003883
0.292555,1.494665,0.003838
0.29548,1.493809,0.003794
0.298434,1.492974,0.00375
0.301419,1.49216,0.003707
0.304432,1.491366,0.003665
0.307476,1.490591,0.003623
0.310551,1.489835,0.003582
0.313656,1.489098,0.003541
0.316792,1.488379,0.003501
0.31996,1.487676,0.003461
0.323159,1.486991,0.003422
0.326391,1.486322,0.003384
0.329654,1.485668,0.003346
0.33295,1.485031,0.003309
0.33628,1.484408,0.003272
0.339642,1.4838,0.003235
0.343038,1.483206,0.003199
0.346468,1.482626,0.003164
0.349933,1.482059,0.003129
0.353432,1.481506,0.003094
0.356966,1.480965,0.00306
0.360535,1.480437,0.003027
0.36414,1.479921,0.002994
0.367781,1.479416,0.002961
0.371458,1.478923,0.002928
0.375173,1.478442,0.002896
0.378924,1.477971,0.002865
0.382713,1.477511,0.002834
0.38654,1.477061,0.002803
0.390405,1.476621,0.002773
0.394308,1.476191,0.002743
0.398251,1.475771,0.002713
0.402233,1.47536,0.002684
0.406255,1.474958,0.002655
0.410317,1.474565,0.002627
0.41442,1.474181,0.002599
0.418564,1.473805,0.002571
0.422749,1.473438,0.002543
0.426976,1.473078,0.002516
0.431245,1.472727,0.002489
0.435558,1.472383,0.002463
0.439913,1.472047,0.002437
0.444311,1.471718,0.002411
0.448754,1.471396,0.002385
0.453241,1.471081,0.00236
0.457773,1.470773,0.002335
0.46235,1.470471,0.002311
0.466973,1.470176,0.002286
0.471643,1.469888,0.002262
0.476359,1.469605,0.002238
0.481122,1.469329,0.002215
0.485933,1.469058,0.002192
0.490792,1.468794,0.002169
0.495699,1.468535,0.002146
0.500655,1.468281,0.002123
0.505662,1.468033,0.002101
0.510718,1.46779,0.002079
0.515824,1.467553,0.002058
0.520982,1.46732,0.002036
0.526191,1.467092,0.002015
0.531453,1.466869,0.001994
0.536767,1.466651,0.001973
0.542134,1.466437,0.001953
0.547555,1.466228,0.001933
0.55303,1.466023,0.001913
0.55856,1.465823,0.001893
0.564145,1.465627,0.001873
0.569786,1.465434,0.001854
0.575483,1.465246,0.001835
0.581237,1.465062,0.001816
0.587049,1.464882,0.001797
0.592919,1.464705,0.001779
0.598848,1.464532,0.001761
0.604835,1.464363,0.001742
0.610883,1.464197,0.001725
0.616991,1.464034,0.001707
0.623161,1.463875,0.001689
0.629392,1.46372,0.001672
0.635685,1.463567,0.001655
0.642041,1.463418,0.001638
0.648461,1.463271,0.001621
0.654945,1.463128,0.001605
0.661494,1.462988,0.001588
0.668108,1.46285,0.001572
0.674789,1.462716,0.001556
0.681536,1.462584,0.00154
0.688351,1.462455,0.001524
0.695234,1.462328,0.001509
0.702185,1.462204,0.001494
0.709206,1.462083,0.001478
0.716298,1.461964,0.001463
0.72346,1.461847,0.001448
0.730694,1.461733,0.001434
0.738,1.461622,0.001419
0.745379,1.461512,0.001405
0.752833,1.461405,0.00139
0.76036,1.4613,0.001376
0.767963,1.461197,0.001362
0.775642,1.461096,0.001349
0.783398,1.460997,0.001335
0.791231,1.4609,0.001322
0.799142,1.460806,0.001308
0.807133,1.460713,0.001295
0.815204,1.460622,0.001282
0.823355,1.460533,0.001269
0.831588,1.460445,0.001256
0.839903,1.46036,0.001243
0.848301,1.460276,0.001231
0.856783,1.460194,0.001218
0.86535,1.460113,0.001206
0.874003,1.460034,0.001194
0.882742,1.459957,0.001182
0.891569,1.459881,0.00117
0.900483,1.459807,0.001158
0.909487,1.459734,0.001147
0.918581,1.459663,0.001135
0.927766,1.459593,0.001124
0.937043,1.459525,0.001112
0.946413,1.459458,0.001101
0.955876,1.459392,0.00109
0.965434,1.459328,0.001079
0.975087,1.459265,0.001068
0.984837,1.459203,0.001058
0.994684,1.459143,0.001047
1.00463,1.459083,0.001036
1.01468,1.459025,0.001026
1.02482,1.458968,0.001016
1.03507,1.458912,0.001006
1.04542,1.458858,0.000996
1.05587,1.458804,0.000986
1.06643,1.458752,0.000976
1.07709,1.4587,0.000966
1.08786,1.45865,0.000956
1.09874,1.4586,0.000947
1.10973,1.458552,0.000937
1.12082,1.458504,0.000928
1.13203,1.458458,0.000919
1.14335,1.458412,0.000909
1.15478,1.458368,0.0009
1.16633,1.458324,0.000891
1.17799,1.458281,0.000882
1.18977,1.458239,0.000874
1.20167,1.458198,0.000865
1.21368,1.458157,0.000856
1.22582,1.458118,0.000848
1.23807,1.458079,0.000839
1.25045,1.458041,0.000831
1.26296,1.458004,0.000822
1.27558,1.457967,0.000814
1.28834,1.457931,0.000806
1.30122,1.457896,0.000798
1.31423,1.457862,0.00079
1.32737,1.457828,0.000782
1.34065,1.457795,0.000774
1.35405,1.457763,0.000767
1.36759,1.457731,0.000759
1.38127,1.4577,0.000751
1.39508,1.457669,0.000744
1.40903,1.45764,0.000737
1.42311,1.45761,0.000729
1.43734,1.457582,0.000722
1.45172,1.457553,0.000715
1.46623,1.457526,0.000708
1.48089,1.457499,0.000701
1.4957,1.457472,0.000694
1.51066,1.457447,0.000687
